revenue,label,no_purchase
3.4,1,0
0.0,1,1
0.0,1,1
0.0,1,1
0.0,1,1
1.0,1,0
0.0,1,1
0.0,1,1
0.0,1,1
20.0,1,0
0.0,1,1
0.0,1,1
0.0,1,1
0.0,1,1
10.0,1,0
0.0,1,1
0.0,1,1
0.0,1,1
0.0,1,1
8.0,1,0
0.0,1,1
10.0,1,0
0.0,1,1
0.0,1,1
0.0,1,1
1.0,1,0
3.0,1,0
2.0,1,0
1.0,1,0
1.0,1,0
4.1,1,0
5.2,1,0
5.0,1,0
4.0,1,0
4.2,1,0
2.0,1,0
1.0,1,0
0.0,1,1
0.0,1,1
0.0,1,1
0.0,1,1
0.0,1,1
15.0,1,0
0.0,1,1
0.0,1,1
0.0,1,1
12.0,1,0
0.0,1,1
0.0,1,1
0.0,1,1
0.0,1,1
0.0,1,1
2.0,1,0
0.0,1,1
0.0,1,1
1.0,1,0
0.0,1,1
0.0,1,1
0.0,1,1
0.0,1,1
0.0,1,1
0.0,1,1
0.0,1,1
2.7,1,0
1.0,1,0
0.0,1,1
1.0,1,0
0.0,1,1
0.0,1,1
0.0,1,1
0.0,1,1
0.0,1,1
0.0,1,1
0.0,1,1
0.0,1,1
0.0,1,1
15.0,1,0
2.0,1,0
0.0,1,1
0.0,1,1
0.0,1,1
5.0,1,0
0.0,1,1
0.0,1,1
0.0,1,1
5.0,1,0
0.0,1,1
0.0,1,1
3.4,1,0
0.0,1,1
4.2,1,0
10.0,1,0
0.0,1,1
3.0,1,0
0.0,1,1
4.0,1,0
0.0,1,1
0.0,1,1
0.0,1,1
0.0,1,1
0.0,1,1
0.0,1,1
52.5,1,0
0.0,1,1
0.0,1,1
0.0,1,1
0.0,1,1
5.4,1,0
15.0,1,0
0.0,1,1
15.0,1,0
2.0,1,0
1.0,1,0
2.2,1,0
0.0,1,1
0.0,1,1
2.0,1,0
1.0,1,0
2.0,1,0
0.0,1,1
0.0,1,1
0.0,1,1
0.0,1,1
0.0,1,1
0.0,1,1
15.0,1,0
15.0,1,0
0.0,1,1
0.0,1,1
0.0,1,1
0.0,1,1
0.0,1,1
0.0,1,1
0.0,1,1
10.0,1,0
0.0,1,1
0.0,1,1
10.0,1,0
0.0,1,1
0.0,1,1
0.0,1,1
0.0,1,1
4.0,1,0
0.0,1,1
0.0,1,1
0.0,1,1
0.0,1,1
0.0,1,1
0.0,1,1
0.0,1,1
0.0,1,1
92.0,1,0
0.0,1,1
0.0,1,1
0.0,1,1
0.0,1,1
0.0,1,1
0.0,1,1
50.0,1,0
0.0,1,1
0.0,1,1
0.0,1,1
0.0,1,1
0.0,1,1
0.0,1,1
0.0,1,1
0.0,1,1
0.0,1,1
0.0,1,1
0.0,1,1
20.0,1,0
0.0,1,1
0.0,1,1
0.0,1,1
0.0,1,1
0.0,1,1
0.0,1,1
0.0,1,1
0.0,1,1
0.0,1,1
0.0,1,1
0.0,1,1
0.0,1,1
0.0,1,1
0.0,1,1
0.0,1,1
0.0,1,1
0.0,1,1
0.0,1,1
0.0,1,1
32.5,1,0
0.0,1,1
0.0,1,1
0.0,1,1
0.0,1,1
0.0,1,1
85.0,1,0
0.0,1,1
0.0,1,1
0.0,1,1
0.0,1,1
0.0,1,1
0.0,1,1
50.0,1,0
0.0,1,1
0.0,1,1
0.0,1,1
0.0,1,1
0.0,1,1
0.0,1,1
90.0,1,0
50.0,1,0
0.0,1,1
0.0,1,1
0.0,1,1
0.0,1,1
0.0,1,1
0.0,1,1
0.0,1,1
0.0,1,1
8.0,1,0
0.0,1,1
1.6,1,0
2.0,1,0
0.0,1,1
1.5,1,0
0.0,1,1
1.0,1,0
0.0,1,1
2.0,1,0
0.0,1,1
0.0,1,1
2.0,1,0
1.0,1,0
1.0,1,0
0.0,1,1
0.0,1,1
0.0,1,1
0.0,1,1
0.0,1,1
0.0,1,1
0.0,1,1
5.3,1,0
4.2,1,0
4.0,1,0
3.5,1,0
9.0,1,0
2.0,1,0
1.0,1,0
0.0,1,1
6.0,1,0
3.4,1,0
2.1,1,0
1.0,1,0
0.0,1,1
3.0,1,0
3.0,1,0
1.0,1,0
1.0,1,0
0.0,1,1
1.0,1,0
0.0,1,1
1.0,1,0
10.0,1,0
4.0,1,0
8.0,1,0
0.0,1,1
13.0,1,0
0.0,1,1
7.0,1,0
3.0,1,0
4.4,1,0
0.0,1,1
2.0,1,0
10.0,1,0
0.0,1,1
10.0,1,0
10.0,1,0
0.0,1,1
5.6,1,0
10.8,1,0
12.0,1,0
2.4,1,0
6.0,1,0
26.6,1,0
12.4,1,0
4.0,1,0
9.0,1,0
3.0,1,0
8.0,1,0
10.0,1,0
14.5,1,0
16.2,1,0
10.0,1,0
6.0,1,0
0.0,1,1
14.0,1,0
2.8,1,0
8.7,1,0
10.3,1,0
5.9,1,0
9.5,1,0
8.0,1,0
5.0,1,0
6.8,1,0
6.0,1,0
0.0,1,1
0.0,1,1
9.7,1,0
