group,revenue,count,label
control,0.0,38314,1
control,1.0,4596,1
control,1.1,118,1
control,1.2,245,1
control,1.3,155,1
control,1.4,177,1
control,1.5,374,1
control,1.6,158,1
control,1.7,86,1
control,1.8,152,1
control,1.9,117,1
control,2.0,2767,1
control,2.1,129,1
control,2.2,174,1
control,2.3,93,1
control,2.4,137,1
control,2.4000000000000004,2,1
control,2.5,296,1
control,2.5999999999999996,1,1
control,2.6,105,1
control,2.7,74,1
control,2.8,115,1
control,2.9,71,1
control,3.0,1523,1
control,3.0999999999999996,3,1
control,3.1,80,1
control,3.2,140,1
control,3.3,69,1
control,3.3000000000000003,1,1
control,3.4,81,1
control,3.4000000000000004,3,1
control,3.5,153,1
control,3.5999999999999996,4,1
control,3.6,76,1
control,3.6999999999999997,1,1
control,3.7,60,1
control,3.8,84,1
control,3.8000000000000003,1,1
control,3.9,55,1
control,3.9000000000000004,2,1
control,4.0,1092,1
control,4.1,60,1
control,4.2,69,1
control,4.3,48,1
control,4.300000000000001,1,1
control,4.4,68,1
control,4.5,80,1
control,4.6,65,1
control,4.699999999999999,1,1
control,4.7,34,1
control,4.8,58,1
control,4.800000000000001,1,1
control,4.8999999999999995,1,1
control,4.9,39,1
control,5.0,2215,1
control,5.1,60,1
control,5.199999999999999,1,1
control,5.2,76,1
control,5.3,35,1
control,5.300000000000001,3,1
control,5.4,61,1
control,5.5,79,1
control,5.6,45,1
control,5.7,36,1
control,5.8,37,1
control,5.9,26,1
control,6.0,569,1
control,6.1,36,1
control,6.199999999999999,1,1
control,6.2,30,1
control,6.3,22,1
control,6.300000000000001,1,1
control,6.4,42,1
control,6.5,63,1
control,6.6,45,1
control,6.699999999999999,1,1
control,6.7,18,1
control,6.8,37,1
control,6.800000000000001,3,1
control,6.9,26,1
control,7.0,350,1
control,7.1,23,1
control,7.1000000000000005,3,1
control,7.199999999999999,4,1
control,7.2,40,1
control,7.3,28,1
control,7.4,30,1
control,7.5,48,1
control,7.6,28,1
control,7.699999999999999,2,1
control,7.7,21,1
control,7.8,19,1
control,7.9,11,1
control,8.0,437,1
control,8.1,21,1
control,8.100000000000001,1,1
control,8.2,25,1
control,8.200000000000001,1,1
control,8.3,21,1
control,8.4,24,1
control,8.5,37,1
control,8.6,23,1
control,8.7,18,1
control,8.799999999999999,1,1
control,8.8,19,1
